Date,Open,High,Low,Close,Volume
17/10/23 19:30,254.2,254.2,254.04,254.1,56689
17/10/23 19:00,254.3,254.38,254.15,254.175,25842
17/10/23 18:30,254.33,254.38,254.15,254.29,16609
17/10/23 18:00,254.1,254.4,254.06,254.35,28401
17/10/23 17:30,254.33,254.37,254.05,254.06,39598
17/10/23 17:00,254.53,254.85,254.2,254.33,54549
17/10/23 16:30,254.58,254.8,254.46,254.56,43564
17/10/23 16:00,254.87,255,254.4,254.58,3290251
17/10/23 15:30,254.96,255.06,253.92,254.85,5717076
17/10/23 15:00,254.96,255.56,247.91,254.92,4094084
17/10/23 14:30,255.13,256.219,254.54,254.96,5167926
17/10/23 14:00,254.33,255.44,254.03,255.13,4871967
17/10/23 13:30,254.404,254.995,253.672,254.29,4906606
17/10/23 13:00,255.91,256.005,254.37,254.41,4889600
17/10/23 12:30,255.98,257.183,255.56,255.89,5451791
17/10/23 12:00,254.96,256.93,254.83,256,7485957
17/10/23 11:30,253.84,255.09,253.4,254.94,6258879
17/10/23 11:00,253.53,254.376,252.78,253.822,6862813
17/10/23 10:30,251.03,253.87,250.8,253.52,8580810
17/10/23 10:00,248.59,251.89,248.36,251.031,11420256
17/10/23 9:30,250.1,251.4,247.08,248.592,14217844
17/10/23 9:00,251.82,251.92,249.85,250.1,557736
17/10/23 8:30,252.78,252.8,251.61,251.82,287409
17/10/23 8:00,253.07,254.01,252.072,252.8,195002
17/10/23 7:30,252.95,253.4,252.67,253.06,70463
17/10/23 7:00,252.94,253.21,252.66,252.95,52831
17/10/23 6:30,252.55,253.06,252.3,252.9,40063
17/10/23 6:00,252.65,252.75,252.25,252.5,28781
17/10/23 5:30,252.51,252.87,252.45,252.65,16670
17/10/23 5:00,252.23,252.88,252.18,252.5,21131
17/10/23 4:30,253.07,253.14,251.99,252.27,53666
17/10/23 4:00,253.51,253.89,252.96,253.1,36395
16/10/23 19:30,253.37,253.41,253.12,253.22,67019
16/10/23 19:00,253.26,253.48,252.28,253.39,37221
16/10/23 18:30,253.56,253.59,253.21,253.23,29397
16/10/23 18:00,253.63,253.7,253.52,253.53,22200
16/10/23 17:30,253.74,253.87,253.61,253.63,26253
16/10/23 17:00,253.59,253.92,253.58,253.74,24791
16/10/23 16:30,253.86,253.92,253.41,253.6,83454
16/10/23 16:00,253.88,254.41,253.62,253.86,3807570
16/10/23 15:30,255,255.228,253.68,253.88,5828841
16/10/23 15:00,254.97,255.01,253.78,255,4421955
16/10/23 14:30,254.55,255.18,254.12,254.98,4757907
16/10/23 14:00,253.24,255.4,253.1,254.566,7042976
16/10/23 13:30,251.96,253.39,251.71,253.23,4131890
16/10/23 13:00,252.75,253.38,250.82,251.95,5063777
16/10/23 12:30,253,253.26,252.28,252.748,3835244
16/10/23 12:00,252.05,253.14,251.58,253.011,4820475
16/10/23 11:30,252.36,252.896,251.45,252.04,4855882
16/10/23 11:00,253.22,253.87,251.87,252.41,6545589
16/10/23 10:30,253.1,253.68,250,253.2,7193405
16/10/23 10:00,251.53,253.25,250.91,253.097,9618247
16/10/23 9:30,250.05,254.17,248.48,251.55,16423471
16/10/23 9:00,249.415,257.41,249.15,250.01,382888
16/10/23 8:30,248.41,250,248.25,249.362,323661
16/10/23 8:00,249.12,252.5,247.5,248.41,434406
16/10/23 7:30,248.07,248.7,247.78,248.37,126440
16/10/23 7:00,249.08,249.23,247.52,248.04,205517
16/10/23 6:30,248.69,249.17,248.62,249.09,37381
16/10/23 6:00,248.61,248.98,248.15,248.69,38125
16/10/23 5:30,248.25,248.75,248.2,248.59,36339
16/10/23 5:00,248.39,248.5,248.1,248.24,46567
16/10/23 4:30,249.11,249.34,248.16,248.4,84280
16/10/23 4:00,250.77,251.29,247.71,249.15,203377
13/10/23 19:30,251.14,251.23,251,251.025,89686
13/10/23 19:00,251.25,251.28,251.1,251.15,53187
13/10/23 18:30,251.22,251.46,251.14,251.24,49086
13/10/23 18:00,251.4,251.8,251.14,251.22,60552
13/10/23 17:30,251.53,252.15,251.4,251.44,88742
13/10/23 17:00,251.275,251.55,251.25,251.53,68411
13/10/23 16:30,251.1,251.4,251.09,251.28,88153
13/10/23 16:00,251.13,264.72,250.75,251.1,3812574
13/10/23 15:30,251.43,251.7,250.22,251.13,7382973
13/10/23 15:00,250.99,252.48,250.22,251.405,5612813
13/10/23 14:30,250.73,251.77,250.43,250.97,4819411
13/10/23 14:00,251.7,252.009,250.384,250.722,5021138
13/10/23 13:30,251.53,252.493,250.79,251.69,5585245
13/10/23 13:00,253.19,253.4,251.52,251.527,4967372
13/10/23 12:30,253.837,254.399,252.692,253.212,4636989
13/10/23 12:00,253.028,254.36,252.45,253.82,6167345
13/10/23 11:30,253.51,254.09,252.72,253.04,6857502
13/10/23 11:00,254.1,255.06,253.02,253.49,8407447
13/10/23 10:30,255.23,256.38,253.35,254.12,10158834
13/10/23 10:00,257.81,257.85,254.89,255.24,12568685
13/10/23 9:30,258.9,259.6,256.07,257.88,15842525
13/10/23 9:00,258.6,259.15,258.35,258.88,395784
13/10/23 8:30,257.319,258.87,257.23,258.6,347076
13/10/23 8:00,256.7,259.93,255.837,257.26,248560
13/10/23 7:30,257.25,257.3,256.64,256.97,62601
13/10/23 7:00,256.58,257.32,256.42,257.22,107817
13/10/23 6:30,256.23,256.99,256.05,256.5,55309
13/10/23 6:00,255.9,256.25,255.78,256.17,54469
13/10/23 5:30,256.37,256.37,255.75,255.87,54673
13/10/23 5:00,256.58,256.62,256.04,256.36,49048
13/10/23 4:30,256.69,256.79,256.18,256.5,43649
13/10/23 4:00,257.27,257.5,255.3,256.7,58447
12/10/23 19:30,257.11,257.15,257,257.13,97480
12/10/23 19:00,257.31,257.45,257,257.07,71577
12/10/23 18:30,257.53,257.776,257.275,257.38,70270
12/10/23 18:00,258.08,258.15,257.5,257.55,80508
12/10/23 17:30,258.11,258.28,257.97,258.085,41036
12/10/23 17:00,258.3,258.4,257.96,258.115,69750
12/10/23 16:30,258.52,258.87,258.28,258.35,227758
12/10/23 16:00,258.82,261.738,258.4,258.52,2523180
12/10/23 15:30,258.31,259.74,258.24,258.904,6735449
12/10/23 15:00,258.25,259.33,258.08,258.31,4993912
12/10/23 14:30,259.09,264.26,257.96,258.24,5873615
12/10/23 14:00,258.54,259.33,256.631,259.1,9517179
12/10/23 13:30,259.76,260.41,258.35,258.55,7612773
12/10/23 13:00,263.416,263.53,259.64,259.77,9047847
12/10/23 12:30,264.48,265.39,263.16,263.412,6565086
12/10/23 12:00,263.992,264.96,263.531,264.46,5938566
12/10/23 11:30,263.24,264.16,262.97,264,5224566
12/10/23 11:00,262.335,264.394,261.48,263.22,7640238
12/10/23 10:30,263.1,263.6,261.65,262.335,8345540
